Function	Count	Inclusive Time (ms)	Inclusive Time %	Exclusive Time (ms)	Exclusive Time %	Avg Time (ms)	Max Time (ms)	Min Time (ms)	URL	Line Number
applyIf	59	2	0.05	2	0.05	0.03	1	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	89
setSize	1	2	0.05	2	0.05	2	2	2	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"11,901"
setSize	15	6	0.14	2	0.05	0.4	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"6,167"
createChild	78	32	0.77	2	0.05	0.41	3	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"5,496"
insertCell	16	2	0.05	2	0.05	0.13	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-toolbars-debug.js?t=20111007011424	65
updateToolbarItemDisabledForView	6	12	0.29	2	0.05	2	4	0	http://pl-l01899/SaaS/scripts/ext.frs/objectviewtoolbar.js?t=20120227063557	400
yesno	2	2	0.05	2	0.05	1	1	1	http://pl-l01899/SaaS/scripts/ext.frs/grid/gridcolumnrenderers.js?t=20120103053413	18
hasRows	33	2	0.05	2	0.05	0.06	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-grid-foundation-debug.js?t=20111007011424	"2,857"
doesUpdateItemAffectGrid	465	2	0.05	2	0.05	0	1	0	http://pl-l01899/SaaS/scripts/ext.frs/grid/dataobjectgrid.js?t=20120312043903	28
isReadOnly	160	2	0.05	2	0.05	0.01	1	0	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectform.js?t=20120301114824	"2,102"
isReadOnly	"2,236"	19	0.46	2	0.05	0.01	1	0	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/objectfield.js?t=20120301115100	370
setFieldReadOnly	828	163.02	3.92	2	0.05	0.2	1	0	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/objectfield.js?t=20120301115100	303
findRecordIgnoreFilter	32	6	0.14	2	0.05	0.19	1	0	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/objectcombofield.js?t=20120312043903	986
tableMeta	321	2	0.05	2	0.05	0.01	1	0	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectform.js?t=20120301114824	708
get_responseData	7	2	0.05	2	0.05	0.29	1	0	http://pl-l01899/SaaS/lib/microsoftajax.js?t=20111007011421	"1,650"
eval code	1	2	0.05	2	0.05	2	2	2		0
filterBy	113	14	0.34	2	0.05	0.12	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"12,034"
ObjectViewToolbar	15	5	0.12	2	0.05	0.33	1	0	http://pl-l01899/SaaS/scripts/ext.frs/objectviewtoolbar.js?t=20120227063557	3
initComponent	130	8	0.19	2	0.05	0.06	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-menu-debug.js?t=20111007011424	"1,028"
initTab	17	29	0.7	2	0.05	1.71	5	1	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tabs-debug.js?t=20111007011424	512
wrap	1	2	0.05	2	0.05	2	2	2	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"5,509"
JScript - window script block	44	28	0.67	2	0.05	0.64	2	0	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectform.js?t=20120301114824	852
initEvents	43	9	0.22	2	0.05	0.21	1	0	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/objectfieldbase.js?t=20111018044352	225
imgLoader	1	2	0.05	2	0.05	2	2	2	http://pl-l01899/SaaS/scripts/saas.webui/imgloader.js?t=20111031064811	26
setValue	304	4	0.1	2	0.05	0.01	1	0	http://pl-l01899/SaaS/scripts/ext.frs/data/datamodel.js?t=20111007011428	71
deepCopy	"1,272"	4	0.1	2	0.05	0	1	0	http://pl-l01899/SaaS/scripts/ext.frs/frs.31x.js?t=20120223125400	"1,593"
createRequiredIcon	10	5	0.12	2	0.05	0.5	1	0	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/objectfield.js?t=20120301115100	218
setFieldMRURecord	31	2	0.05	2	0.05	0.07	1	0	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectform.js?t=20120301114824	"1,021"
RegExp	138	1	0.02	1	0.02	0.01	1	0		0
Boolean	"5,467"	1	0.02	1	0.02	0	1	0		0
Array.shift	263	1	0.02	1	0.02	0	1	0		0
